Русское слово,Ительменское слово
полвинка река Половинан,"kiwečχ , sеd. собств"
полдник,pawuznaʔ сущ
поле,usx сущ
полежать,sollala- неп; sollata- неп
полежать недолго,sollala- неп
полезный,qečisiŋlaχ прил; poʎeznoj прил
полено,usk'əlŋin сущ; uʔ сущ
полететь,χotsa- неп
ползать,ɬalxte- неп
поливать,ipstu- п1; lins- п1
поливать (цветы),ipstu- п1
полка,panzamač сущ
полный,ktxnuʔin; ktirwitknen прил
половина рыбьей тушки,aʔnoŋ сущ
половой орган,č'afk сущ
половой член,pilk'e сущ
половой член мужской,qəlq сущ
положить,əzu- п1
положить,əzzotnom сущ; əzzu- п1; əzus- п1 с.
положить стельки в обувь,č'oneʔɬ- неп
полоз нарты,sxləŋ сущ
полоса берега,erwen сущ
кухлянке,temptemp сущ
полоскать,ipəɬqe- п1
полосовать ремнем,xinsxtla- п1
полотенце,aɲɬxanom сущ; t'ɬanoŋ сущ
полотно,činəp сущ
получать,qezwat- п1
полынья,fat'sx сущ
пользоваться известностью,alwa- неп
поляна,nuten сущ; usx сущ
помеха,inmeseŋ сущ
помешивать,əntewli- п1
помещение для скота,stajaʔ сущ
помещение под крышей,jajalq сущ
помнить,ɬnita- п1; txiɬ- п2; χaq iɬ- п1
помогать встать,əntkeʔɬ- п1
помогать немного,ənk'zowala- п1
помолчать,eɬčala- неп
помочь,ənk'zowata- п1
помощник,inənk'zuʔɬkiɬχ; k'ewərx сущ
помощь оказывать,nək'zuʔɬ- неп
поневоле,kəʔmxaɬ союз
понедельник,ponеdеl'nik сущ
понемногу,uʎučq нареч
понемногу приближаться,tmalala- неп
понижать,nezoq'at- п1
понижаться,izuse- неп
понимать,ilfs- п1; xiq til- п2
по-новому,neʔnanaŋsq нареч
"понять, что за человек",aŋaze- п2
попадать,ust- п1
попадать в самого себя,ost- неп
попадать в трудное положение,čskawel- неп
попадать в цель постоянно,ustsxen- п1
попадаться,ka- неп; kaʔ- неп
попарить,nepajsa- п1
попасть в плен,tskawel- неп
поперёк,kul нареч
поплавок,pəxpəx сущ
положение,čeqsxe- неп
попозже,ɬaŋ нареч
поправиться,xsozale- неп
поправлять,ɬinmiti- п1
поправлять здоровье,ənqečeʔɬ- п1
поправляться,qečisi- неп
попросить,neɬ- п1; ənst- п1
попросить пойти,kaŋɬata- неп
попрошайка,nestram сущ
попрошайничать,nənstəʔɬ- неп;
помогать,inənk'zuʔɬ- неп; nək'zuʔɬ- неп; ənk'zu- п1 nest- неп; nestzo- неп
по-пустому,č'exč'eɬ нареч
попытка,xinitan сущ
пора,xaɬč нареч
поработать немного,wetatala- неп
поравить,ənxiʔŋi- п1
порвать,sč'ez- п1
порваться,sč'es- неп
порез,p'iznom сущ
порезать,əmpχesxen- п1
порезаться,p'is- неп
порог,xollolač сущ
порог на реке,xollolač сущ
порознь,ɬman нареч; ɬmaŋ нареч
пороть,tpəlzo- п1; tpəll- п1
пороть одежду,itɬqr- п1
порох,porox сущ
пороша,nespəl сущ; pənk'eč сущ
порошить,nespəl- неп
порошок,ʷpiŋpiŋ сущ
портить,ɬisxepi- неп; netfkeʔɬ- неп; əntfke- п1
послушай,kɬčki межд; əʎčke межд с.
послушание,elfsenŏm сущ
послушать,ilfs- неп; ilfs- п1
послушный,k'ilfsʔin прил
посмеиваться,ɬŋezaɬat- неп
посмотреть вокруг,loŋaʔɬ- неп
посмотреь,əɬčku- неп
посмотри,kɬčki межд; əʎčke межд с.
посолкой заниматься,soʎaʔɬ- неп
поспевать,is- неп
посреди,kӑnnenk нареч
пост,post сущ
поставить,əntχzuʔɬ- п1
по-старому,it'enanɬxanŏŋ нареч
постель,aɲts сущ; warnaʔn сущ; steʔnŏŋ сущ
постель из ветвей кедрача,tarwanačχ сущ
постель стелить,aɲts- неп; aɲts-
портиться,suq- неп; tfke- неп; п1; stiʔɬ- п1 t'ɬa- неп
портиться от поедания червем,k'əmčelti- неп
портрет,portret сущ
портсигар,kansajoɬxen сущ
портфель,portfеl' сущ
портянка,ijallŋən сущ
поручать,ɬenŋaɬoŋe- п1
поселение,tičsχ сущ
посёлок,atnom сущ
посёлок заброшенный,atnoqol сущ
поскальзывать,iɬχapsxen- неп
поскользнуться,iɬχap'et- неп
поскольку,pəl предл
после,txatxask нареч
послед,p'asx сущ
последний,posʎetɲoj прил
послезавтра,qolank нареч
поститься,postaʔɬkas инф
посторонний,pɬχʔin прил; ek'nin прил
постоянно,aŋjazo- неп; wečno нареч; quʔneŋeʔn нареч
постоянно дурить,aŋqansxen- неп
постоянно закрывать,sopsxen- п1
постоянно караулить,injusxen- п1
постоянно находить,čkit- п2
постоянно смотреться в зеркало,zerklačote- неп
постоянно успокаивать,niɬčeteʔɬ- неп
постоянный,quʔneŋelaχ прил
постоять,tχzowata- неп
построить,sk- п1
посуда,soranesχq сущ
варки,kukejeɬxen сущ
посуда крупная,qamaŋa сущ
посуда под жир,χamɬχjoɬxen сущ
посудина,soranəŋ сущ
посылать,ənkli- п1; ənqli- п1; ənqlizo- п1; ənqlit- п1
"посылать кого-либо, что-либо",anamɬ- п1
посылка,anamɬes сущ; ɬpeles сущ
посыпать,nepeŋ- п1
пот,ɬxes сущ
по-теперешнему,neʔnanaŋsq нареч
потереть,tozata- п1
потереть ногу,ənsxul- п1
потереться,sxul- неп
потерять,meč'- п1
потерять запах,sqaso- неп
потерять зубы,kaɬalxpe- неп; kixpleʔɬ- неп
потеть,ɬxas- неп
потихоньку,insliq нареч; iseŋq нареч; xiʔnere нареч
потолок,podwolok сущ
потом,insxik нареч с.; ɬam; ɬaŋ нареч; txatxask нареч
потому что,jaəm союз
потоп,Аwanom сущ
потратить(ся),infɬeʔne- неп
потрогать,ənč'owata- п1
потрошить,əmp'q'a- п1
потухать,oŋq- неп; oŋqsxen- неп
потушить,noʔŋqaʔɬ- п1
потяг упряжи для собак,‘srednaʔ сущ
потягиваться,sxoŋ- неп
похвалить,aŋja- п1
походить,čəl- неп
похожим,alwale- неп
похожим быть на кого-то,alwale- неп
похоть,č'afkranom сущ
почва,ktxəm сущ
почему,ӑŋqankit мест; ɬawaɬ нареч
почернеть,ktwe- неп
починенный,xiʔŋiŋlaχ прил
починить,ɬinmiti- п1; ənxiʔŋi- п1
почки,kʎimelŋən сущ
почта,počta сущ
почтовый,počtaʔan прил
почувствовать,nizli- неп
по-шамански петь,eŋeŋse- неп
пощупать,tillatala- п1; tillatata- п1
поэтому,tiʔnwekit; xejneɬ; xeniɬ союз
появляться,ksxle- неп; sfis- неп; əlxp- неп
появляться неожиданно,sfeskas инф
пояс,sit сущ; sit сущ
поясная часть штанов,kəmmanomt сущ
поясница,setzanom сущ
поясок,pojaskalŋən сущ
правда,liɬi межд
праведник,kliɬʔin сущ
праведный,kliɬʔin прил
правильно,čŋiɬ нареч
правильный,prawil'noj прил
правительство,prawitеl'stwo сущ
правнук,rosxkamlon сущ
правой,prawoj прил
правый,prawoj прил; xtoŋan прил
праздник,č'axɬes сущ
равдуги,alačikaʔn сущ
праздничный,č'aχlezʔan прил
праздновать,č'axɬ- неп
превосходно,brawo нареч
превращать,t'ill- п1; t'illət- п1
превращаться,le- неп; letet- неп
преграждать,txwəlet- неп
предавать,ənɬwaɬteŋ- п1
предназначить,kɬfəɲčke sk- п1
преднамеренно,zaznami нареч
председатель,predsedatеʎ сущ
предсказание,kɬfəɲčk ampelanom сущ
предсказывать,kɬfəɲčke ɬo- п1
предупреждать,ampelaʔɬ- неп
прежде,it'e союз; qaʔt it'e нареч
прежний,it'enan прил
презирать,ənχzewep- п1
презренный,kənχzewepeʔin инф
прекрасно,pəlqʎwi нареч
прекращать,piɲɬf- п1; ənɬχilŋi- п1
прекращать(ся),piɲɬf- неп; piɲɬfaʔɬ- неп
прекращаться,piŋɬfet- неп
прелюбодействовать,nist- п1
премия,premiя сущ
преследовать,čanzo- п1
престол,ɬanom сущ
пресыщаться,əmč'k'eli- неп
прибавлять,pribaweʔɬ- неп
прибирать,nəmt'l- п1
приближаться,tmal- неп;
тмалк,le- неп; tmalsa- неп; tmilat- неп
понемногу,tmalala- неп
прибывать,k'oɬ- неп
привал,onmestnom сущ; čwanom сущ
привал делать,əlχt- неп
приведеничать,inč'ele- неп
привет,txuʔen сущ
приветствовать,dorowa- п1
приветствовать,amtoʔaɬ- п2
аӈӄан,it- неп
приводить,ɬink'oɬ- п1; ənɬaleŋ- п1
привозить,timpɬ- п1; əlʔe- п2
привыкать,ʷk'e- неп; k'eʔ- неп
привязвать бат лодку,tupez- п1
привязывать,piz- п1; pəz- п1
привязывать бат,tχtupes- неп
приглашать,oč'- п1; əŋqze- неп
приготовлять,ɬinŋaziɬ- п1; napraw- п1
придавить,ənwiɬti- п1
придавливать,ənwiɬtit- п1
придумывать,ʷk'enezi- п1; əɲčik'irwi- п1
приезжать,k'oɬ- неп; ewen- неп
