слово,диалект,фонетический вариант,северный диалектный вариант,часть речи,грамматические пометы,инфинитив,множественное число,общее число,толкование,ссылка,,,,,,
омтсх,,омтсӽ,,существительное,,,омтсхаʔн,,1) узел; 2) вязанка дров,,,,,,,
омтэ-,,,,глагол,переходный1,омтэс,,,"связывать, завязывать; плести",омтат-,омтсхэнэ-,,,,,
омтэʔнәм,,,,существительное,,,,,"ремень, перетягивающий кладь на нарте",,,,,,,
омэӄ,,,,существительное,,,,,"ядовитый (для коровы, безвредный для лошади) корнеплод в виде репы",,,,,,,
омʔом,,,,существительное,,,омʔомэʔн,,"тепло, теплое место",,,,,,,
онмала-,,,,глагол,непереходный,онмалакас,,,"останавливаться, задерживаться ненадолго",,,,,,,
онмалат-,,,,глагол,непереходный,онмалаткас,,,"останавливаться, задерживаться ненадолго во многих местах, то и дело",,,,,,,
онмэном,,онмэноӈ,,существительное,,,онмэноʔн,,остановка; стоянка,,,,,,,
онмэстном,,,,существительное,,,онмэстноʔн,,"место, привал, остановка; место, где обычно пристают к берегу",,,,,,,
онум,,,,,,,,,,ноч,,,,,,
оӈ-,,,,глагол,непереходный,оӈкас,,,давиться (чем-либо),,,,,,,
оӈӄ-,,оӈк-,,глагол,непереходный,оӈӄкас,,,"гаснуть, тухнуть, потухать",ноʔӈӄаʔԓ-,оӈӄсхэн-,,,,,
оӈта-,,,,глагол,непереходный,оӈтакас,,,"заготавливать деловую древесину (жерди, столбы, колья и т.п., но не дрова)",,,,,,,
оӈэл-,,,,глагол,непереходный,оӈэлкас,,,,ӈэлкас,,,,,,
оон,,,,существительное,,,,,"чирьи, фурункулы",,,,,,,
опана,,,,существительное,,,опанаʔн,,"пища для собак, опана",,,,,,,
опоздаʔԓ-,,,,глагол,непереходный,опоздаʔԓкас,,,опаздывать,,,,,,,
опсанка,,,,существительное,,,,,дальневосточная лилия,,,,,,,
оптхнәм,,,,существительное,,,,,настил из жердей под балаганом,,,,,,,
опэчик,,,,существительное,,,,,деревянная венцовая основа печи,,,,,,,
орден,,,,существительное,,,орденаʔн,,орден,,,,,,,
ормайолӈән,,,,существительное,,,,,настил из тонких жердей в шалаше для копчения кипрея,,,,,,,
оромх,,,,существительное,,,оромхэʔн,,кузов (наплечная корзина для ягод и съедобных растений),,,,,,,
оропла-,,,,глагол,переходный1,ороплас,,,"разгонять дым, выгонять комаров из дома, провевать ягоды на ветру",,,,,,,
ост-,,,,глагол,непереходный,осткас,,,попадать в самого себя (при стрельбе),остала-,,,,,,
остном,,,,существительное,,,остноʔн,,рана (огнестрельная),,,,,,,
остхлэләӈ,,,,существительное,,,,,"остол (палка с металлическим наконечником), служащий для управления нартой",,,,,,,
осхпԓ-,,,,глагол,переходный1,осхпԓэс,,,закрепить нарту остолом в снегу (чтобы собаки не убежали),,,,,,,
осхтлэныӈ,,,,существительное,,,осхтлэнэʔн,,"остол (шест, чтобы подгонять собак и крепить нарту в снегу на остановках)",,,,,,,
осхтэл-,,,,глагол,непереходный,осхтэлкас,,,тормозить (нарту остолом),,,,,,,
осәл,,,,существительное,,,,,осел,,,,,,,
отказаʔԓ-,,,,глагол,непереходный,отказаʔԓкас,,,отказываться,,,,,,,
отличник,,,,существительное,,,отличникаʔн,,отличник,,,,,,,
отметка,,,,существительное,,,отметкаʔн,,отметка (школьная),,,,,,,
отрывок,,,,существительное,,,отрывкаʔн,,отрывок,,,,,,,
отхп-,,,,глагол,переходный1,отхпэс,,,"ставить заплаты (на брюки, на полозья нарт, если они выщерблены)",отхпала-,,,,,,
отхпаʔԓ-,,,,глагол,непереходный,отхпаʔԓкас,,,"заниматься ремонтом (подставкой нартовых полозьев, также залатываением дырок на одежде)",,,,,,,
отэкакас,,,,глагол,переходный1,отэкакас,,,"конопатить, заниматься конопачением",,,,,,,
отэкала-,,,,глагол,переходный1,отэкалас,,,слегка проконопатить что-либо,,,,,,,
отэкаʔԓ-,,,,глагол,непереходный,отэкаʔԓкас,,,,отэкакэс,,,,,,
отʼс,,,,существительное,,,отʼсэʔн,,плаха,,,,,,,
отʼсәм,,учʼинәм,,существительное,,,,,настил из плах,,,,,,,
охотьэԓ-,,,,глагол,непереходный,охотьэԓкэс,,,охотиться,,,,,,,
охп,,,эхп,существительное,,,охпэʔн,,деревянная игла для вязания сетей,,,,,,,
оч-,,,,глагол,непереходный,очкас,,,"ударить чем-либо плоским, так чтобы при ударе был звонкий шлепок (ведром об воду, шлепнуть ладонью по голому телу, дать пощечину и т.д.)",,,,,,,
очкаʔн,,,,существительное,,,same,,очки,,,,,,,
очʼ-,,,,глагол,переходный1,очʼэс,,,"звать, позвать, вызывать; приглашать",иночʼ-,очʼата-,очʼзо-,очʼэт-,,,
очʼалоʔ,,очалоʔ,,числительное,,,,,тысяча,,,,,,,
оʔолт,,,,существительное,,,оʔолтэʔн,,1) крупный камень для дробления костей (на выварку жира и т.п.);  2) ячмень (глазное заболевание),,,,,,,
оʔрэста,,,,существительное,,,оʔрэстаʔн,,"место под лежанкой, кроватью",,,,,,,
оʔтэ-,,,,глагол,непереходный,оʔтэкас,,,одеревенеть,,,,,,,
оʔулт,,,,существительное,,,,,каменное корыто,,,,,,,
павузнаʔ,,,,существительное,,,,,полдник,,,,,,,
пайу-,,,,глагол,переходный1,пайус,,,зачерпывать (пищу) кому-либо,пайу-,,,,,,
пайу-,,,,глагол,непереходный,пайукас,,,"зачерпывать ложкой, поварешкой -спец: еду, то, что сварено",пайу-,,,,,,
пако-,,,,глагол,переходный1,пакос,,,убивать кого-либо,,,,,,,
пакокатэ-,,,,глагол,непереходный,пакокатэкас,,,нести яйца (о птицах - диких),,,,,,,
̊пакук,,пакок,,существительное,,,̊пакукаʔн,,птенец; цыплёнок,,,,,,,
пакэл,,,,существительное,,,пакэʔл,,женские меховые штаны,,,,,,,
пакʼал,,,,существительное,,,пакʼаʔл,,"нарост (на дереве), шишка (на теле человека)",,,,,,,
пакʼаԓачӽ,,,,существительное,,,,,"меховый шарик, пришиваемый к женскому капору",,,,,,,
Паљара,,,,имя собственное ,,,,,"речка, впадает в р. Пэттаʔай выше села Сопочного (справа)",,,,,,,
паԓтоʔ,,,,существительное,,,паԓтоʔн,,пальто,,,,,,,
памйалӈән,,паӈйаʔн,пањат,существительное,,,памйаʔн,,"чаж, меховой чулок",,,,,,,
памйаʔн,,,,,,,,,,паӈйаʔн,,,,,,
памхччаӽ,,паʔмхччаӽ,,существительное,,,,,мальчик,,,,,,,
памятник,,,,существительное,,,памятникаʔн,,памятник,,,,,,,
панзамач,,панзэмач,,существительное,,,панзамаʔн,,"полка (для вещей на чердаке, в сарае, в балагане (мэм) и т.п.)",,,,,,,
панзатԓэлӈән,,пиӈзатԓэн,пәнсапэлкʼэʔн,существительное,,,панзатԓэʔн,,торбаза (зимняя национальная обувь из камуса),,,,,,,
панзумач,,,,существительное,,,,,настил в амбаре,,,,,,,
пансноӈ,,,,существительное,,,панснэʔн,,нижняя завязка на обуви (вокруг ступни),,,,,,,
панэнайп-,,,,глагол,непереходный,панэнайпкас,,,"разговаривать откровенно, по душам, «исповедоваться»",ԓинпанэнайпа-,,,,,,
паӈза-,,,,глагол,переходный2,паӈзакас,,,класть что-либо за,паӈзат-,,,,,,
паӈзаӈ,,,,существительное,,,паӈзаʔн,,"пазуха, место между телом и подпоясанной кухлянкой",,,,,,,
