Ительменское слово,Русское слово
č'oneʔɬ- неп,положить стельки в обувь
sxləŋ сущ,полоз нарты
erwen сущ,полоса берега
temptemp сущ,кухлянке
ipəɬqe- п1,полоскать
xinsxtla- п1,полосовать ремнем
aɲɬxanom сущ,полотенце
t'ɬanoŋ сущ,полотенце
činəp сущ,полотно
qezwat- п1,получать
fat'sx сущ,полынья
alwa- неп,пользоваться известностью
nuten сущ,поляна
usx сущ,поляна
inmeseŋ сущ,помеха
əntewli- п1,помешивать
stajaʔ сущ,помещение для скота
jajalq сущ,помещение под крышей
ɬnita- п1,помнить
txiɬ- п2,помнить
χaq iɬ- п1,помнить
əntkeʔɬ- п1,помогать встать
ənk'zowala- п1,помогать немного
eɬčala- неп,помолчать
ənk'zowata- п1,помочь
inənk'zuʔɬkiɬχ сущ,помощник
k'ewərx сущ,помощник
nək'zuʔɬ- неп,помощь оказывать
kəʔmxaɬ союз,поневоле
ponеdеl'nik сущ,понедельник
uʎučq нареч,понемногу
tmalala- неп,понемногу приближаться
nezoq'at- п1,понижать
izuse- неп,понижаться
ilfs- п1,понимать
xiq til- п2,понимать
neʔnanaŋsq нареч,по-новому
aŋaze- п2,"понять, что за человек"
ust- п1,попадать
ost- неп,попадать в самого себя
čskawel- неп,попадать в трудное положение
ustsxen- п1,попадать в цель постоянно
ka- неп,попадаться
kaʔ- неп,попадаться
nepajsa- п1,попарить
tskawel- неп,попасть в плен
kul нареч,поперёк
pəxpəx сущ,поплавок
čeqsxe- неп,положение
ɬaŋ нареч,попозже
xsozale- неп,поправиться
ɬinmiti- п1,поправлять
ənqečeʔɬ- п1,поправлять здоровье
qečisi- неп,поправляться
neɬ- п1,попросить
ənst- п1,попросить
kaŋɬata- неп,попросить пойти
nestram сущ,попрошайка
nənstəʔɬ- неп,попрошайничать
inənk'zuʔɬ- неп,помогать
nək'zuʔɬ- неп,помогать
ənk'zu- п1 nest- неп,помогать
nestzo- неп,помогать
č'exč'eɬ нареч,по-пустому
xinitan сущ,попытка
xaɬč нареч,пора
wetatala- неп,поработать немного
ənxiʔŋi- п1,поравить
sč'ez- п1,порвать
sč'es- неп,порваться
p'iznom сущ,порез
əmpχesxen- п1,порезать
p'is- неп,порезаться
xollolač сущ,порог
xollolač сущ,порог на реке
ɬman нареч,порознь
ɬmaŋ нареч,порознь
tpəlzo- п1,пороть
tpəll- п1,пороть
itɬqr- п1,пороть одежду
porox сущ,порох
nespəl сущ,пороша
pənk'eč сущ,пороша
nespəl- неп,порошить
ʷpiŋpiŋ сущ,порошок
ɬisxepi- неп,портить
netfkeʔɬ- неп,портить
əntfke- п1,портить
kɬčki межд,послушай
əʎčke межд с. ,послушай
elfsenŏm сущ,послушание
ilfs- неп,послушать
ilfs- п1,послушать
k'ilfsʔin прил,послушный
ɬŋezaɬat- неп,посмеиваться
loŋaʔɬ- неп,посмотреть вокруг
əɬčku- неп,посмотреь
kɬčki межд,посмотри
əʎčke межд с. ,посмотри
soʎaʔɬ- неп,посолкой заниматься
is- неп,поспевать
kӑnnenk нареч,посреди
post сущ,пост
əntχzuʔɬ- п1,поставить
it'enanɬxanŏŋ нареч,по-старому
aɲts сущ,постель
warnaʔn сущ,постель
steʔnŏŋ сущ,постель
tarwanačχ сущ,постель из ветвей кедрача
aɲts- неп,постель стелить
aɲts- ,постель стелить
suq- неп,портиться
tfke- неп,портиться
 п1,портиться
stiʔɬ- п1 t'ɬa- неп,портиться
k'əmčelti- неп,портиться от поедания червем
portret сущ,портрет
kansajoɬxen сущ,портсигар
portfеl' сущ,портфель
ijallŋən сущ,портянка
ɬenŋaɬoŋe- п1,поручать
tičsχ сущ,поселение
atnom сущ,посёлок
atnoqol сущ,посёлок заброшенный
iɬχapsxen- неп,поскальзывать
iɬχap'et- неп,поскользнуться
pəl предл,поскольку
txatxask нареч,после
p'asx сущ,послед
posʎetɲoj прил,последний
qolank нареч,послезавтра
postaʔɬkas инф,поститься
pɬχʔin прил,посторонний
ek'nin прил,посторонний
aŋjazo- неп,постоянно
wečno нареч,постоянно
quʔneŋeʔn нареч,постоянно
aŋqansxen- неп,постоянно дурить
sopsxen- п1,постоянно закрывать
injusxen- п1,постоянно караулить
čkit- п2,постоянно находить
zerklačote- неп,постоянно смотреться в зеркало
niɬčeteʔɬ- неп,постоянно успокаивать
quʔneŋelaχ прил,постоянный
tχzowata- неп,постоять
sk- п1,построить
soranesχq сущ,посуда
kukejeɬxen сущ,варки
qamaŋa сущ,посуда крупная
χamɬχjoɬxen сущ,посуда под жир
soranəŋ сущ,посудина
ənkli- п1,посылать
ənqli- п1,посылать
ənqlizo- п1,посылать
ənqlit- п1,посылать
anamɬ- п1,"посылать кого-либо, что-либо"
anamɬes сущ,посылка
ɬpeles сущ,посылка
nepeŋ- п1,посыпать
ɬxes сущ,пот
neʔnanaŋsq нареч,по-теперешнему
tozata- п1,потереть
ənsxul- п1,потереть ногу
sxul- неп,потереться
meč'- п1,потерять
sqaso- неп,потерять запах
kaɬalxpe- неп,потерять зубы
kixpleʔɬ- неп,потерять зубы
ɬxas- неп,потеть
insliq нареч,потихоньку
iseŋq нареч,потихоньку
xiʔnere нареч,потихоньку
podwolok сущ,потолок
insxik нареч с. ,потом
ɬam ,потом
ɬaŋ нареч,потом
txatxask нареч,потом
jaəm союз,потому что
Аwanom сущ,потоп
infɬeʔne- неп,потратить(ся)
ənč'owata- п1,потрогать
əmp'q'a- п1,потрошить
oŋq- неп,потухать
oŋqsxen- неп,потухать
noʔŋqaʔɬ- п1,потушить
‘srednaʔ сущ,потяг упряжи для собак
sxoŋ- неп,потягиваться
aŋja- п1,похвалить
čəl- неп,походить
alwale- неп,похожим
alwale- неп,похожим быть на кого-то
č'afkranom сущ,похоть
ktxəm сущ,почва
ӑŋqankit мест,почему
ɬawaɬ нареч,почему
ktwe- неп,почернеть
xiʔŋiŋlaχ прил,починенный
ɬinmiti- п1,починить
ənxiʔŋi- п1,починить
kʎimelŋən сущ,почки
počta сущ,почта
počtaʔan прил,почтовый
nizli- неп,почувствовать
eŋeŋse- неп,по-шамански петь
tillatala- п1,пощупать
tillatata- п1,пощупать
tiʔnwekit союз,поэтому
xejneɬ союз,поэтому
xeniɬ союз,поэтому
ksxle- неп,появляться
sfis- неп,появляться
əlxp- неп,появляться
sfeskas инф,появляться неожиданно
sit сущ,пояс
sit сущ,пояс
kəmmanomt сущ,поясная часть штанов
setzanom сущ,поясница
pojaskalŋən сущ,поясок
liɬi межд,правда
kliɬʔin сущ,праведник
kliɬʔin прил,праведный
čŋiɬ нареч,правильно
prawil'noj прил,правильный
prawitеl'stwo сущ,правительство
rosxkamlon сущ,правнук
prawoj прил,правой
prawoj прил,правый
xtoŋan прил,правый
č'axɬes сущ,праздник
alačikaʔn сущ,равдуги
č'aχlezʔan прил,праздничный
č'axɬ- неп,праздновать
brawo нареч,превосходно
t'ill- п1,превращать
t'illət- п1,превращать
le- неп,превращаться
letet- неп,превращаться
txwəlet- неп,преграждать
ənɬwaɬteŋ- п1,предавать
kɬfəɲčke sk- п1,предназначить
zaznami нареч,преднамеренно
predsedatеʎ сущ,председатель
kɬfəɲčk ampelanom сущ,предсказание
kɬfəɲčke ɬo- п1,предсказывать
ampelaʔɬ- неп,предупреждать
