russian,itelmen,part of speech
побеждать,anəɲčxčaʔɬ- неп; əɲčxča- п1; əɲčxčazo- п1; əɲčxčat- п1,multiple translations
побелкой заниматься,бэʎiʔɬ-,неп
побережье,эrwэn,сущ
побивать,nэtməɲɬ- неп; nэtməɲɬ- п1,multiple translations
побить,talawata-,п1
поблескивать,atxk'za-,неп
побоев следы,txɬnom,сущ
действию,qlэ,межд
повадиться приходить,k'oɬət-,неп
повадки узнавать,χaq til-,п2
повар,kkokazoʔan,сущ
поварежкой зачерпывать,paju-,неп
по-вашему,təzanɬxanэŋ,нареч
повернуть,ənsxozŋata-,п1
повесить,ənt'эnŋa-,п1
повеситься,k'up-,неп
по-видимому,fisx,межд
поворачивать,ənsxozŋa- п1; ənsxozŋazo- п1; ənsxozŋat- п1,multiple translations
поворачиваться,sxozŋa- неп; sxozŋazo- неп; sxozŋat- неп,multiple translations
обувь,fisfэʔn,сущ
повседневные летние обуви,aʎэʔn,сущ
погоды),alэʔn,сущ
повторение,powtorenie,сущ
повторять,aɲčpakat- п1; qazalaʔɬ- неп; powtoras п1,multiple translations
повторять сказанное,qazala-,п1
погасить свет,əntxun-,п1
погибать,mэč'-,неп
погонялка для рыбы,imzatэʔnəŋ,сущ
пограничник,pograničnik,сущ
пограничный,pograničnoj,прил
погружать,insimpɬ-,неп
погружаться,čkɬ-,неп
погубить,l'эt'эl- п1; mэt'эlэ- п1,multiple translations
под,tnŭmk нареч; tnŭmkэ нареч; čəsk нареч; čəskэ нареч,multiple translations
подавать,zil-,п1
"подальше от берега, от воды",nэnomk,нареч
подарок,gostinцaʔ сущ; iɲčzum сущ,multiple translations
подбивка на лыже под ступней,anst'wolnoŋ,сущ
подбирать,ənsxu- п1; эnwэl- неп,multiple translations
подбить кому-либо ногу,natkawa-,п1
подбородок,kəmk'č сущ; k'imkč сущ,multiple translations
подвернуть,lopləmzo-,п1
подвертывать,lopləmzotə-,п1
подвесная детская люлька,zipkэ,сущ
"подвесная колыбель, зыбка",zipkэʔ,сущ
подвигать,tniɬэt- п1; ənsč'эlla- п1,multiple translations
подгорать,kэŋrэt-,неп
подготовлять,ɬinŋaziɬ-,п1
поддакивать,č'sxən-,неп
поддерживать,ənlola-,п1
поделать,skala-,п1
поджаривать,zarэ-,неп
поджарить,zarэʔɬ-,неп
поджигать,nэtxaʔɬ-,неп
поди,t'aɬi,межд
подкармливать,ɬinnut-,п1
подкладка для маленьких детей,pэt,сущ
подкладка у одежды,pkatnəŋ,сущ
подкладывать детям подстилку,pэtэʔɬ-,неп
подкладывать подстилку,pэtэʔɬ-,п1
подклеивать,nэtməɲɬ- неп; nэtməɲɬ- п1,multiple translations
подкожная шкурка,эɬf,сущ
подкопать,satola-,п1
подлащиваться,awazэʔɬ-,неп
подлесок березовый,ič'əmč,сущ
подлый,qiwэlaχ,прил
подманить собак,alwoltэ-,п1
подмастерье,k'эwərx,сущ
подмерзать,katɬ-,неп
подметать,mali- неп; mali- п1,multiple translations
подмышка,č'эzaq,сущ
поднимать,ənsxu- п1; ənsxut- п1,multiple translations
поднимать наверх,tэfs-,п1
подниматься,sэzza- неп; fnэ- неп; эfs- неп,multiple translations
подняться,эfsata-,неп
подождать,kzu-,п1
подозревать,čkzt-,п1
подойти,t'aɬi,межд
подол одежды,čoɬxən,сущ
подошва,эčэŋəlŋən,сущ
подошва горы,čoɬxən,сущ
подошва ноги,manzəŋ,сущ
подошва обуви,ačaŋəm сущ; эčэŋэlŋəm сущ,multiple translations
подошвенный шов обуви,tniɬnoŋ,сущ
подошвы подшивать,эčэʔɬ- п1; эčэʔɬэt- п1,multiple translations
подпирать,čэpə- п1; čэpэtə- п1,multiple translations
подпирать дверь,usk'ŋ-,п1
подпорка,usk'əlŋin сущ; utknэn сущ; čэpnəŋ сущ,multiple translations
подпоясаться,sit-,неп
подпоясываться,sit-,неп
подпрыгивать,stk'ɬat- неп; st'kɬatэ- неп,multiple translations
подранить,ostala-,п1
подрастать,эsχtэ-,неп
по-другому,ɬwaɬk'эɬ нареч; ɬwaɬ нареч,multiple translations
подружка,klэlx,сущ
подсказывать,lawala- п2; lat- п2,multiple translations
подскользнуться,iɬχap'эs-,неп
подслушивать,aləsk'waʔɬ-,неп
подслушивать постоянно,aləsk'waʔɬat-,неп
подсматривать,laxɬэt- неп; čkzt- п1,multiple translations
подснежник,luqэn,сущ
подставить,pkɬala-,п1
подставка,pkɬnom,сущ
подножку,ɬinkup-,п1
подставлять опору,čэpə-,п1
подставлять руку,ənamčэtə-,п1
подстерегать,fčoʔɬ- п1; эč'эwi- неп; эč'эwi- п1,multiple translations
подстилать,stiʔɬ-,п1
подстилка,stэʔnŏŋ,сущ
подстилку детям подкладывать,pэtэʔɬ-,неп
подстилку подкладывать,pэtэʔɬ-,п1
подтирка,qajpsanoŋ,сущ
подтягивать,txnэtzo- неп; txnэtzo- п1,multiple translations
подумать,ʷk'эnэzi-,неп
по-дурному,aŋqansχ- А; aŋqansχq нареч; aŋqansχlaχ прил,multiple translations
подушка (деталь нарты),anzəlnom,сущ
подходить тмалк,lэ- неп; tmalsa- неп; ənkɬ- неп с.,multiple translations
подшивать подошвы,эčэʔɬ- п1; эčэʔɬэt- п1,multiple translations
подъезжаться тмалк,lэ-,неп
подъем,эfsnom,сущ
подыматься,isxu- неп; эfs- неп,multiple translations
подыматься наверх,эfsэt-,неп
подыматься немного,эfsala-,неп
поесть,nowala- неп; nowata- неп; tχӑl- п1,multiple translations
поесть чуть чуть,ansχčka-,неп
пожалеть залка,iɬ-,п1
пожарище,k'wak'wum сущ; lunom сущ,multiple translations
пожилой,d'эd'uŋslaχ,прил
пожилой человек,mэtxlaχ,сущ
пожирать живьем,pэč-,неп
позавчера,qolank,нареч
позади,salk,нареч
позапрошлый год,t'aɬanank нареч; xiʔixltu нареч,multiple translations
позвать,oč'- п1; oč'ata- п1,multiple translations
позволять,iti-,п1
позвонок,k'awapk'ol,сущ
позвоночник,k'awač,сущ
поздно,pozda,нареч
поздравлять,pozdrawɬa-,п1
позывы к тошноте,iʔlakэt-,неп
поиграть,maʔɬ-,неп
поискать,эnxtata-,п1
поить,ɬinwili-,п1
по-ихнему,txiinɬxanэŋ,нареч
пойти выбрать кого-либо,čэlata-,п2
подуть,tlu-,п1
подушка,snəŋ сущ; ənsnaŋ сущ,multiple translations
пойти выстрелить,ɬotata-,неп
пойти достать что-либо,əlʔata-,п2
пойти за дровами,ŋэlata-,неп
пойти закрыть,sopata-,п1
пойти занести,tэwata-,п2
пойти купить,эɲɬata-,неп
пойти лечь,sollata- неп; эɬčata- неп,multiple translations
пойти мочиться,tχэzata-,неп
пойти надеть что-либо,txɬata-,п1
пойти налить,lэnsata-,п1
пойти отрезать,əmpχata-,п1
пойти побить,talawata-,п1
пойти подняться,эfsata-,неп
пойти поесть,nowata-,неп
пойти позвать,oč'ata-,п1
пойти поискать,эnxtata-,п1
пойти покормить,ɬэnnowata-,п1
пойти помочь,ənk'zowata-,п1
пойти попросить,kaŋɬata-,неп
пойти посмотреть,ɬčkowata-,п1
пойти постоять,tχzowata-,неп
пойти потереть,tozata-,п1
пойти потрогать,ənč'owata-,п1
пойти пощупать,tillatata-,п1
пойти принести,t'fɬata-,п2
пойти рассказать,lawata-,п2
пойти расспросить,ɬэɲɬlatazo-,п1
пойти сделать,skawata-,п1
покойник,k'эzzatt'klač,сущ
покормить,ɬэnnowala-,п1
покос,kosэʔɬnom сущ; Пxaʎaʔɲč собств с.; Сtworaʔn собств с.,multiple translations
покос на левом берегу,Пxaʎaʔɲč,собств
покос на левом берегу Йикив,Кoɲэʔn,собств
берегу Йикив,Рučkэ,собств
покоситься,sqэns- неп; sč'aʔŋa- неп,multiple translations
покоситься слегка,sč'aʔŋala-,неп
покрасить,anzazo-,п1
покрывать крышу,timэ-,п1
покрываться грязью,kэɬč'alti-,неп
покрываться звездами,ŋэzэtэ-,неп
покрываться лишаем,əmk'əsxti-,неп
покрываться льдом,kətwoltэ-,неп
покрываться облаками,ŋizzalti-,неп
покрываться сыпью,эsxti-,неп
покрыться копотью,ipэrwэ-,неп
покрышка,эnsčinэŋ,сущ
покупатель,iɬtəlχ сущ;,multiple translations
ягоды,axɬata-,п1
покупать,insxiʔɬ- неп; iɲɬ- неп;,multiple translations
пойти спросить,ɬэɲɬlata-,п1
пока,əŋki,межд
показывать,ɬnэčkoŋi- п1; ɬэɲɬo- п1; sŋэčkoŋ- п1; ənksxli- п1,multiple translations
показывать что-либо,aɲɬo-,п1
показываться,ksxlэ- неп; əlxp- неп; əlxpit- неп,multiple translations
покачиваться,χэlэ-,неп
покаяние,tэŋsэnom,сущ
покидать,inoms- неп; umz- п1 iɲɬit- неп; эnɬala- п2,multiple translations
пол,pol,сущ
полвинка река Половинан,"kiwэčχ , sed.",собств
полдник,pawuznaʔ,сущ
поле,usx,сущ
полежать,sollala- неп; sollata- неп,multiple translations
полежать недолго,sollala-,неп
полезный,qэčisiŋlaχ прил; poʎэznoj прил,multiple translations
полено,usk'əlŋin сущ; uʔ сущ,multiple translations
полететь,χotsa-,неп
ползать,ɬalxtэ-,неп
поливать,ipstu- п1; lins- п1,multiple translations
поливать (цветы),ipstu-,п1
полка,panzamač,сущ
полный,ktxnuʔin; ktirwitknэn,прил
половина рыбьей тушки,aʔnoŋ,сущ
половой орган,č'afk,сущ
половой член,pilk'э,сущ
половой член мужской,qəlq,сущ
положить,əzu-,п1
положить,əzzotnom сущ; əzzu- п1; əzus- п1 с.,multiple translations
положить стельки в обувь,č'onэʔɬ-,неп
полоз нарты,sxləŋ,сущ
полоса берега,эrwэn,сущ
кухлянке,tэmptэmp,сущ
полоскать,ipəɬqэ-,п1
полосовать ремнем,xinsxtla-,п1
полотенце,aɲɬxanom сущ; t'ɬanoŋ сущ,multiple translations
полотно,činəp,сущ
получать,qэzwat-,п1
полынья,fat'sx,сущ
пользоваться известностью,alwa-,неп
поляна,nutэn сущ; usx сущ,multiple translations
помеха,inmэsэŋ,сущ
помешивать,əntэwli-,п1
помещение для скота,stajaʔ,сущ
помещение под крышей,jajalq,сущ
помнить,ɬnita- п1; txiɬ- п2; χaq iɬ- п1,multiple translations
помогать встать,əntkэʔɬ-,п1
помогать немного,ənk'zowala-,п1
помолчать,эɬčala-,неп
помочь,ənk'zowata-,п1
помощник,inənk'zuʔɬkiɬχ; k'эwərx,сущ
помощь оказывать,nək'zuʔɬ-,неп
поневоле,kəʔmxaɬ,союз
понедельник,ponedel'nik,сущ
понемногу,uʎučq,нареч
понемногу приближаться,tmalala-,неп
понижать,nэzoq'at-,п1
понижаться,izusэ-,неп
понимать,ilfs- п1; xiq til- п2,multiple translations
по-новому,nэʔnanaŋsq,нареч
"понять, что за человек",aŋazэ-,п2
попадать,ust-,п1
попадать в самого себя,ost-,неп
попадать в трудное положение,čskawэl-,неп
